#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 15A     5pp1P 0-0 R( 1)"   0   1   93.1022 107408.85 3.018E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 Q( 1)"   0   1   93.1662 107335.09 6.034E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 R( 1)"   0   1   93.1609 107341.13 6.034E-03 1.000E+11 1.000E+00
"C12O16 15C     5ps1S 0-0 P( 1)"   0   1   93.3087 107171.15 7.351E-03 1.000E+10 1.000E+00
"C12O16 15C     5ps1S 0-0 R( 1)"   0   1   93.2976 107183.92 1.470E-02 1.000E+10 1.000E+00
"C12O16 16         1S 2-0 P( 1)"   0   1   93.5697 106872.15 1.256E-03 3.333E+11 1.000E+00
"C12O16 16         1S 2-0 R( 1)"   0   1   93.5649 106877.67 2.513E-03 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 P( 1)"   0   1   93.8011 106608.55 4.281E-06 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 R( 1)"   0   1   93.7911 106619.96 8.563E-06 3.333E+11 1.000E+00
"C12O16 17   I' 5ss1S 0-0 P( 1)"   0   1   94.0228 106357.15 7.116E-03 1.000E+12 1.000E+00
"C12O16 17   I' 5ss1S 0-0 R( 1)"   0   1   94.0121 106369.33 1.423E-02 1.000E+12 1.000E+00
"C12O16 18   W  3ss1P 2-0 Q( 1)"   0   1   94.1175 106250.21 1.288E-02 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 R( 1)"   0   1   94.1117 106256.71 1.289E-02 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 P( 1)"   0   1   94.6320 105672.55 2.541E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 R( 1)"   0   1   94.6218 105683.85 5.082E-03 1.000E+11 1.000E+00
"C12O16 20   L  4pp1P 1-0 Q( 1)"   0   1   94.8385 105442.38 1.395E-03 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 R( 1)"   0   1   94.8315 105450.22 1.395E-03 1.000E+10 1.000E+00
"C12O16 21   H  4ps1S 1-0 P( 1)"   0   1   95.0072 105255.15 7.345E-03 1.000E+12 1.000E+00
"C12O16 21   H  4ps1S 1-0 R( 1)"   0   1   94.9967 105266.78 1.469E-02 1.000E+12 1.000E+00
"C12O16 22   W  3ss1P 1-0 Q( 1)"   0   1   95.6243 104575.89 6.735E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 R( 1)"   0   1   95.6186 104582.17 6.735E-03 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 Q( 1)"   0   1   96.0302 104133.95 1.287E-04 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 R( 1)"   0   1   96.0250 104139.55 1.287E-04 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 P( 1)"   0   1   96.4433 103687.85 9.314E-04 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 R( 1)"   0   1   96.4326 103699.38 1.863E-03 3.333E+11 1.000E+00
"C12O16 25   L  4pp1P 0-0 Q( 1)"   0   1   96.8317 103272.01 3.869E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 R( 1)"   0   1   96.8242 103279.93 3.869E-03 1.000E+10 1.000E+00
